PAWellID,County,Municipality,QuadName,WellAddress,WellZipCode,DateDrilled,TypeOfActivity,LatitudeDD,LongitudeDD,Driller,OriginalOwner,WellUse,WaterUse,WellDepth(ft),TopOfCasing(ft),BottomOfCasing(ft),CasingDiameter(in),DepthToBedrock(ft),BedrockNotReached,WellYield(gpm),StaticWaterLevel(ft),WaterLevelAfterYieldTest(ft),LengthOfTest(min),YieldMeasurementMethod,SaltwaterZone(ft),FormationName,PaperImageLink,Remark,
476686 ,ALLEGHENY ,BRADDOCK BORO ,BRADDOCK ,100 TALBOT AVENUE ,15104 ,12/26/2007 ,NEW WELL ,40.40694 ,-79.87667 , ALLPROBE ENVIRONMENTAL INC. ,LIBERTY TIRE ,MONITORING ,OTHER ,20 ,0 ,15 ,0.17 , ,True , , , , , , , , , ,
51643 ,ALLEGHENY ,RICHLAND TWP. ,VALENCIA ,RD1 VALENCIA , ,12/26/1976 ,NEW WELL ,40.65917 ,-79.97306 ,WATT DRILLING ,BRUTOUT  ,WITHDRAWAL ,DOMESTIC ,100 ,0 ,55 ,6 ,24 ,False ,8.5 ,62 , , ,BAILER , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM230011") ,FROM VALENCIA TRAVEL EAST ON VALENCIA BAKERSTOWN RD LAST HOUSE ON LEFT. ,
704304 ,ALLEGHENY ,FRANKLIN PARK BORO , ,1801 BIG SKY LANE ,15143 ,12/24/2015 ,NEW WELL ,40.59623 ,-80.12058 , MEINERT WELL DRILLING INC. ,DIAMOND ,WITHDRAWAL ,DOMESTIC ,231 ,0 ,40 ,6.25 ,35 ,False ,0.8 ,32 ,231 ,120 ,BAILER , , , ,WELL IS LOCATED HALF WAY UP HILL TO THE LEFT OF THE DRIVEWAY IN A CUT BACK. FROM 133FT-145FT HIGH AMOUNTS OF NATURAL GAS WERE FOUND. WELL IS UNUSED. ,
51547 ,ALLEGHENY ,PINE TWP. , , , ,12/24/1986 ,NEW WELL , , ,R J NOCK & SON ,BAIR JAMES ,WITHDRAWAL ,DOMESTIC ,220 ,0 , ,6 , ,False ,10 ,100 ,130 ,5 ,BAILER , ,UNKNOWN , ,170-220FT = GRAY SLATE ,
51603 ,ALLEGHENY ,RICHLAND TWP. ,VALENCIA ,SHEPARD RD , ,12/24/1966 ,NEW WELL ,40.62806 ,-79.95917 ,FERGUSON BROTHERS ,HANSEN ,WITHDRAWAL ,DOMESTIC ,168 ,0 ,44 ,6.25 , ,False ,5 ,85 , , ,BAILER , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM230078") , ,
51603 ,ALLEGHENY ,RICHLAND TWP. ,VALENCIA ,SHEPARD RD , ,12/24/1966 ,NEW WELL ,40.62806 ,-79.95917 ,FERGUSON BROTHERS ,HANSEN ,WITHDRAWAL ,DOMESTIC ,168 ,0 ,140 ,5 , ,False ,5 ,85 , , ,BAILER , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM230078") , ,
638530 ,ALLEGHENY ,OHIO TWP. ,EMSWORTH ,Toms Run Road Pittsburgh PA ,15237 ,12/23/2015 ,NEW WELL ,40.54259 ,-80.10146 , HAEFNER DRILLING LLC ,MTSA ,WITHDRAWAL ,DOMESTIC ,120 ,-1 ,28 ,6 ,20 ,False ,3.5 ,35 , , ,BAILER , , , , ,
554472 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,1 21ST STREET ,15222 ,12/23/2014 ,WELL ABANDONMENT ,40.454 ,-79.98519 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,65 , , , , ,False , , , , , , , , ,INSTALLED 15&#39; GRAVEL...250# HOLEPLUG 3/4&quot;...TREMIE LINE TO BOTTOM OF WELL...CEMENTED TO TOP ,
648197 ,ALLEGHENY ,FORWARD TWP. , ,OFF RT 51 NEAR ELIZABETH , ,12/23/1979 ,NEW WELL ,0 ,0 ,WILLIAM J MCCORMICK ,SMITH ,WITHDRAWAL ,DOMESTIC ,158 ,0 ,21 ,6 ,14 ,False ,3 ,95 ,10 ,60 ,ESTIMATED , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM229320") , ,
3275 ,ALLEGHENY ,PENN HILLS TWP. ,NEW KENSINGTON WEST , , ,12/23/1949 , ,40.5075 ,-79.79694 ,UNKNOWN ,ALUMINUM CO. AMERICA ,WITHDRAWAL ,INDUSTRIAL ,58 ,0 ,48 ,18 , ,False ,400 ,15 , , , , ,ALLUVIUM , , ,
691800 ,ALLEGHENY ,CHURCHILL BORO ,BRADDOCK ,1310 Beulah Road ,15235 ,12/22/2020 ,NEW WELL ,40.4411 ,-79.84871 , GEO-ENVIRONMENTAL DRILLING CO INC ,Former Westinghouse Site ,MONITORING ,OTHER ,70 ,0 ,60 ,2 ,7 ,False , ,0 , , , , , , , ,
554470 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,3 RIVERS HERITAGE TRAIL SYSTEM ,15212 ,12/22/2014 ,WELL ABANDONMENT ,40.45222 ,-79.99204 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,58 , , , , ,False , , , , , , , , ,INSTALLED 15&#39; GRAVEL...250# HOLEPLUG 3/4&#39;...TREMIE LINE TO BOTTOM OF WELL...CEMENTED TO TOP ,
554807 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,14 N SHORE TRAIL ,15212 ,12/22/2014 ,WELL ABANDONMENT ,40.45352 ,-79.99057 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,54 , , , , ,False , , , , , , , , ,15&#39; GRAVEL...250# 3/4&quot; HOLEPLUG...TREMIE LINE TO BOTTOM OF WELL...CEMENTED TO TOP ,
554808 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,3 RIVERS HERITAGE TRAIL SYSTEM ,15212 ,12/22/2014 ,WELL ABANDONMENT ,40.45151 ,-79.99288 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,58 , , , , ,False , , , , , , , , ,INSTALLED 15&#39; GRAVEL...250# HOLEPLUG 3/4&#39; TREMIE LINE TO BOTTOM OF WELL...CEMENTED TO TOPWELL #22 ,
559522 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,Meade St ,      ,12/22/2014 ,NEW WELL ,40.44921 ,-79.89906 , TERRA TESTING INC. ,Old Linen Cleaning Facility ,MONITORING , ,37 ,0 ,32 ,2 , ,False , , , , , , , , , ,
554471 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,10 N SHORE TRAIL ,15212 ,12/22/2014 ,WELL ABANDONMENT ,40.45419 ,-79.98966 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,57.5 , , , , ,False , , , , , , , , ,INSTALLED 5&#39; GRAVEL...100# HOLEPLUG...TREMIE LINE TO BOTTOM OF WELL CEMENTED TO TOP ,
554805 ,ALLEGHENY ,PITTSBURGH ,PITTSBURGH EAST ,10 N SHORE TRAIL ,15212 ,12/22/2014 ,WELL ABANDONMENT ,40.45418 ,-79.98965 , DILLAN WELL DRILLING INC ,BAY VALLEY FOODS LLC ,ABANDONED ,COMMERCIAL ,57.5 , , , , ,False , , , , , , , , ,INSTALLED 5&#39; GRAVEL...100# HOLEPLUG 3/4&quot;...TREMIE LINE TO BOTTOM OF WELL...CEMENTED TO TOP ,
270052 ,ALLEGHENY ,PITTSBURGH , ,5733 BUTLER ST PITTSBURGH ,15230 ,12/22/1988 ,NEW WELL ,0 ,0 , L G HETAGER DRILLING INC ,ATLANTIC RICHFIELD ,MONITORING ,OTHER ,40 ,-2 ,40 ,8 , ,False , , , , , , , ,=HYPERLINK("http://www.iframeapps.dcnr.state.pa.us/topogeo/PaGWIS_search/DisplayReportImage.aspx?id=IM008475") ,INTERSECTION OF BUTLER AND 57TH STREETS. MW 17. ,
700743 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,60 , , , , ,False , , , , , , , , , ,
700765 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,      ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,42 , , , , ,False , , , , , , , , , ,
700771 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89833 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,24 , , , , ,False , , , , , , , , , ,
700742 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27111 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,25 , , , , ,False , , , , , , , , , ,
700752 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,      ,12/21/2021 ,WELL ABANDONMENT ,40.27111 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,20 , , , , ,False , , , , , , , , , ,
700786 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27111 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,24 , , , , ,False , , , , , , , , , ,
700741 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27111 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,22 , , , , ,False , , , , , , , , , ,
700764 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,      ,12/21/2021 ,WELL ABANDONMENT ,40.27056 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,20 , , , , ,False , , , , , , , , , ,
700769 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,22 , , , , ,False , , , , , , , , , ,
700787 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89833 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,24 , , , , ,False , , , , , , , , , ,
700788 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,60 , , , , ,False , , , , , , , , , ,
700740 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,20 , , , , ,False , , , , , , , , , ,
700744 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27111 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,20 , , , , ,False , , , , , , , , , ,
700763 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27056 ,-79.89889 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,20 , , , , ,False , , , , , , , , , ,
700770 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89861 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,22 , , , , ,False , , , , , , , , , ,
700789 ,ALLEGHENY ,WEST ELIZABETH BORO , ,901 5th Street ,15088 ,12/21/2021 ,WELL ABANDONMENT ,40.27083 ,-79.89833 , H.A.D. INC. ,BP Products North America Inc. ,ABANDONED , ,60 , , , , ,False , , , , , , , , , ,
646704 ,ALLEGHENY ,CARNEGIE BORO ,PITTSBURGH WEST ,350 E Main Street ,15106 ,12/21/2016 ,NEW WELL ,40.40973 ,-80.08298 , GEO-ENVIRONMENTAL DRILLING CO INC ,Giant Eagle ,MONITORING ,OTHER ,18 ,0 ,8 ,2 , ,False , ,10 , , , , , , , ,
422430 ,ALLEGHENY ,PITTSBURGH , ,6680 FRANKSTOWN AVENUE , ,12/21/2007 ,WELL ABANDONMENT ,40.46417 ,-79.91389 , TERRA TESTING INC. ,EXXON ,MONITORING , ,35 , , , , ,False , ,9.6 , , , , , , , ,
422432 ,ALLEGHENY ,PITTSBURGH , ,6680 FRANKSTOWN AVENUE , ,12/21/2007 ,WELL ABANDONMENT ,40.46389 ,-79.91444 , TERRA TESTING INC. ,EXXON ,MONITORING , ,35 , , , , ,False , ,10.8 , , , , , , , ,
